RollNo,Name,Maths_Mid1,Maths_Mid2,Maths_Mid3,Maths_Sem,Physics_Mid1,Physics_Mid2,Physics_Mid3,Physics_Sem,Chemistry_Mid1,Chemistry_Mid2,Chemistry_Mid3,Chemistry_Sem,English_Mid1,English_Mid2,English_Mid3,English_Sem,Telugu_Mid1,Telugu_Mid2,Telugu_Mid3,Telugu_Sem,IT_Mid1,IT_Mid2,IT_Mid3,IT_Sem
N23052,Gayathri,17,16,19,51,,18,19,60,13,,16,44,17,18,14,49,16,18,16,47,14,,13,40
N23053,Lokesh,10,,15,37,12,12,16,42,13,12,10,40,12,10,11,36,13,13,12,44,13,14,13,47
N23054,Sirisha,16,14,16,49,17,15,13,41,12,16,15,42,16,19,20,49,20,19,20,58,13,9,14,35
N23055,Vamsi,15,16,12,49,17,19,16,46,,,12,32,10,10,13,43,17,20,19,49,18,15,18,52
N23056,Nandini,,,12,46,17,18,19,54,,9,13,41,17,13,16,47,18,17,20,49,14,11,10,36
N23057,Pavan,17,16,20,52,15,12,,45,13,13,10,44,13,14,,45,18,18,15,56,,19,20,52
N23058,Ramya,,20,20,60,15,16,16,48,18,15,15,46,11,11,9,36,11,12,11,39,12,13,14,44
N23059,Siddharth,9,9,12,35,16,17,14,43,16,16,11,48,11,11,14,44,11,14,,37,,13,11,42
N23060,Vyshnavi,17,18,19,52,15,15,17,51,15,17,17,45,13,13,14,43,13,16,11,40,12,13,11,35
N23061,Bharath,13,15,14,42,19,17,19,50,11,16,,41,14,17,15,41,15,16,16,46,15,14,14,44
N23062,Anusha,,20,17,53,,18,19,48,16,14,16,42,14,14,,44,18,20,18,56,20,16,,54
N23063,Chaitanya,11,15,10,39,13,14,19,48,17,19,20,54,18,16,18,46,14,19,19,52,,15,17,45
N23064,Lavanya,16,19,,59,15,16,10,44,12,,15,48,,15,17,50,16,15,11,39,13,16,,39
N23065,Rakesh,13,12,13,43,14,19,13,43,11,9,14,43,10,15,15,39,19,19,,47,11,10,13,41
N23066,Sahithi,19,17,20,52,15,,14,42,13,12,14,45,18,,15,55,,17,18,50,,12,13,45
N23067,Mohan,13,9,9,35,10,10,13,35,14,18,19,45,10,15,11,37,15,11,16,48,13,14,13,47
N23068,Prathyusha,16,20,17,48,13,,11,40,16,18,18,48,16,18,18,46,9,13,,34,14,10,12,38
N23069,Surya,11,12,,41,10,11,,43,,16,17,50,12,13,17,50,11,12,13,43,18,20,15,58
N23070,Hema,,15,16,44,13,11,12,44,20,19,18,57,10,14,9,41,12,10,11,36,17,17,14,53
N23071,Krishna,14,19,17,52,17,19,,53,13,13,14,38,13,10,9,39,15,14,12,48,12,13,15,44
N23072,Yamini,13,14,16,42,13,19,18,53,18,17,19,56,,12,11,33,17,17,16,52,17,17,19,49
N23073,Roshan,13,14,18,52,20,,20,56,13,11,11,33,14,18,16,51,15,15,12,49,13,15,,46
N23074,Alekhya,12,11,13,35,17,18,18,56,16,16,17,46,15,20,16,46,13,16,10,47,14,18,19,53
N23075,Naresh,15,12,16,43,15,17,13,46,18,15,19,49,10,16,10,45,,13,13,41,16,13,16,47
N23076,Manasa,15,,10,44,15,17,16,53,10,,14,39,,,18,49,14,,18,49,,15,15,48
N23077,Sandeep,16,15,18,46,20,16,16,55,15,15,14,50,18,20,18,58,11,10,,40,16,20,17,50
N23078,Likitha,,10,14,34,17,17,,51,16,20,14,56,,11,9,35,18,,20,57,18,18,20,54
N23079,Uday,11,15,17,45,14,16,13,43,11,10,13,33,18,,14,52,12,17,18,45,19,17,,47
N23080,Renuka,13,15,9,37,18,15,17,49,20,18,20,57,,15,16,39,10,12,16,46,12,15,15,48
N23081,Sameer,19,16,19,49,12,11,12,37,20,20,20,60,17,14,,50,15,17,,52,19,17,16,56
N23082,Niharika,13,15,16,47,11,11,11,36,20,20,18,52,14,16,13,43,12,14,17,40,14,14,17,44
N23083,Ashok,16,15,17,54,15,15,20,54,18,20,20,60,16,20,20,54,12,18,16,45,16,15,15,43
N23084,Madhumitha,15,17,14,50,13,12,13,39,11,,11,38,10,10,13,34,12,11,11,42,16,,14,47
N23085,Rajesh,18,17,19,49,18,17,14,51,14,12,12,38,10,11,9,32,19,20,18,60,9,10,10,32
N23086,Sushma,13,19,19,52,,17,13,49,14,10,,33,10,14,10,41,9,10,8,34,13,9,13,34
N23087,Vivek,15,12,17,51,,11,14,44,11,10,10,30,11,12,10,40,11,9,12,33,16,17,13,47
N23088,Padma,13,,13,43,16,13,13,50,13,15,12,45,16,17,11,47,14,17,12,40,17,17,18,52
N23089,Karthik,,10,,31,19,18,20,56,12,12,12,39,17,17,18,55,12,18,17,42,,15,15,47
N23090,Indu,16,18,19,56,11,11,10,39,19,20,18,53,8,10,12,37,,18,20,52,10,12,11,32
N23091,Praveen,17,,13,49,16,20,,52,,20,17,60,14,,17,43,8,10,9,38,,20,19,58
N23092,Shalini,16,20,,47,11,15,14,41,18,20,17,56,,12,16,42,13,,11,47,14,18,13,50
N23093,Abhilash,12,,15,39,19,19,,56,9,13,9,30,14,14,17,48,15,16,12,44,10,13,9,38
N23094,Monica,18,20,15,49,14,17,18,53,13,,14,41,8,13,10,34,11,13,13,37,18,14,16,45
N23095,Srikanth,14,16,17,42,15,18,20,53,11,10,14,33,14,15,17,45,10,10,13,36,12,,17,45
N23096,Reshma,14,14,16,41,17,18,13,49,17,20,19,51,14,18,17,52,13,11,10,34,,14,10,41
N23097,Vinay,,17,14,50,16,18,20,51,17,,15,51,15,15,15,47,14,16,11,40,9,10,11,38
N23098,Aishwarya,16,19,19,47,17,16,19,50,17,19,13,55,15,20,,54,17,16,18,46,17,20,,58
N23099,Hemanth,13,19,19,51,,17,14,44,13,17,13,50,18,,14,51,17,20,20,50,,13,15,38
N23100,Supriya,11,14,17,48,16,18,16,49,17,18,16,45,18,20,17,53,13,14,14,39,11,11,,35
